,Race,Gender,Year,JobType
18499,Minority,Women,2015,Unskilled
73755,White,Men,2007,Unskilled
69332,White,Women,2007,Unskilled
12783,White,Women,2015,Skilled
83370,White,Women,2015,Unskilled
23822,White,Men,2007,Unskilled
47460,White,Women,2015,Unskilled
83501,White,Women,2015,Unskilled
20803,Minority,Women,2015,Unskilled
63121,White,Men,2015,Semi-Skilled
10881,White,Men,2015,Skilled
52665,White,Men,2015,Unskilled
29555,Minority,Men,2015,Semi-Skilled
30772,White,Men,2015,Unskilled
2071,White,Men,2015,Skilled
46447,White,Women,2015,Unskilled
49502,White,Men,2007,Unskilled
72740,White,Men,2007,Unskilled
25288,White,Women,2007,Unskilled
40806,White,Women,2007,Unskilled
50108,White,Men,2007,Unskilled
16971,Minority,Men,2015,Unskilled
21014,Minority,Women,2015,Unskilled
41950,Minority,Men,2007,Unskilled
40043,White,Women,2007,Unskilled
32698,Minority,Men,2007,Unskilled
9891,White,Men,2015,Skilled
2950,Minority,Women,2015,Skilled
58950,White,Men,2007,Semi-Skilled
6526,White,Women,2007,Skilled
29307,White,Men,2015,Unskilled
39856,Minority,Men,2007,Unskilled
36857,Minority,Men,2015,Unskilled
29596,Minority,Men,2015,Semi-Skilled
47651,White,Women,2015,Unskilled
4000,Minority,Men,2007,Skilled
81137,White,Women,2015,Unskilled
20827,White,Women,2015,Skilled
7221,White,Women,2007,Skilled
83191,White,Women,2015,Unskilled
75920,White,Women,2007,Unskilled
11994,White,Men,2015,Skilled
4850,Minority,Women,2007,Skilled
2334,White,Women,2015,Skilled
79892,White,Men,2015,Unskilled
34034,Minority,Men,2007,Unskilled
9940,White,Men,2015,Skilled
10448,White,Men,2015,Skilled
13269,Minority,Men,2007,Unskilled
71940,White,Women,2015,Unskilled
18223,White,Men,2015,Skilled
16341,White,Men,2007,Skilled
74184,White,Men,2007,Unskilled
58641,White,Men,2007,Semi-Skilled
42823,Minority,Women,2007,Unskilled
52472,Minority,Women,2015,Unskilled
36866,White,Women,2007,Unskilled
51109,White,Men,2007,Unskilled
4308,Minority,Men,2007,Skilled
1143,Minority,Men,2007,Skilled
21885,Minority,Men,2007,Unskilled
44036,Minority,Women,2007,Unskilled
46351,White,Women,2015,Unskilled
69314,White,Women,2007,Unskilled
43178,White,Women,2015,Unskilled
20271,White,Women,2015,Skilled
25580,Minority,Men,2007,Semi-Skilled
