hotel_name,rating,count
DoubleTree Suites by Hilton Boston-Cambridge,Poor,79
DoubleTree Suites by Hilton Boston-Cambridge,Terrible,55
Holiday Inn Express Boston,Excellent,171
Holiday Inn Express Boston,Very good,281
Holiday Inn Express Boston,Average,99
Holiday Inn Express Boston,Poor,30
Holiday Inn Express Boston,Terrible,25
Hilton Boston Back Bay,Excellent,830
Hilton Boston Back Bay,Very good,924
Hilton Boston Back Bay,Average,387
Hilton Boston Back Bay,Poor,135
Hilton Boston Back Bay,Terrible,59
Boston Park Plaza,Excellent,391
Boston Park Plaza,Very good,312
Boston Park Plaza,Average,143
Boston Park Plaza,Poor,76
Boston Park Plaza,Terrible,32
Embassy Suites by Hilton Boston - at Logan Airport,Excellent,698
Embassy Suites by Hilton Boston - at Logan Airport,Very good,698
Embassy Suites by Hilton Boston - at Logan Airport,Average,343
Embassy Suites by Hilton Boston - at Logan Airport,Poor,106
Embassy Suites by Hilton Boston - at Logan Airport,Terrible,66
Hilton Boston Downtown / Faneuil Hall,Excellent,557
Hilton Boston Downtown / Faneuil Hall,Very good,573
Hilton Boston Downtown / Faneuil Hall,Average,244
Hilton Boston Downtown / Faneuil Hall,Poor,90
Hilton Boston Downtown / Faneuil Hall,Terrible,63
DoubleTree Club by Hilton Hotel Boston Bayside,Excellent,407
DoubleTree Club by Hilton Hotel Boston Bayside,Very good,467
DoubleTree Club by Hilton Hotel Boston Bayside,Average,277
DoubleTree Club by Hilton Hotel Boston Bayside,Poor,105
DoubleTree Club by Hilton Hotel Boston Bayside,Terrible,52
Hilton Boston Logan Airport,Excellent,978
Hilton Boston Logan Airport,Very good,"1,179"
Hilton Boston Logan Airport,Average,452
Hilton Boston Logan Airport,Poor,142
Hilton Boston Logan Airport,Terrible,83
Element Boston Seaport,Excellent,43
Element Boston Seaport,Very good,28
Element Boston Seaport,Average,6
Element Boston Seaport,Poor,2
Element Boston Seaport,Terrible,1
Hampton Inn & Suites Boston Crosstown Center,Excellent,344
Hampton Inn & Suites Boston Crosstown Center,Very good,325
Hampton Inn & Suites Boston Crosstown Center,Average,164
Hampton Inn & Suites Boston Crosstown Center,Poor,67
Hampton Inn & Suites Boston Crosstown Center,Terrible,39
Chandler Inn,Excellent,284
Chandler Inn,Very good,439
Chandler Inn,Average,128
Chandler Inn,Poor,53
Chandler Inn,Terrible,32
Wyndham Boston Beacon Hill,Excellent,582
Wyndham Boston Beacon Hill,Very good,679
Wyndham Boston Beacon Hill,Average,357
Wyndham Boston Beacon Hill,Poor,125
Wyndham Boston Beacon Hill,Terrible,66
Copley House,Excellent,150
Copley House,Very good,194
Copley House,Average,89
Copley House,Poor,37
Copley House,Terrible,41
Boston Hotel Buckminster,Excellent,303
Boston Hotel Buckminster,Very good,495
Boston Hotel Buckminster,Average,233
Boston Hotel Buckminster,Poor,95
Boston Hotel Buckminster,Terrible,96
The Midtown Hotel,Excellent,584
The Midtown Hotel,Very good,"1,219"
The Midtown Hotel,Average,631
The Midtown Hotel,Poor,202
The Midtown Hotel,Terrible,89
Aloft Boston Seaport,Excellent,55
Aloft Boston Seaport,Very good,67
Aloft Boston Seaport,Average,19
Aloft Boston Seaport,Poor,10
Aloft Boston Seaport,Terrible,8
Holiday Inn Express Hotel & Suites Boston Garden,Excellent,130
Holiday Inn Express Hotel & Suites Boston Garden,Very good,173
Holiday Inn Express Hotel & Suites Boston Garden,Average,87
Holiday Inn Express Hotel & Suites Boston Garden,Poor,35
Holiday Inn Express Hotel & Suites Boston Garden,Terrible,23
Courtyard Boston Downtown,Excellent,34
Courtyard Boston Downtown,Very good,42
Courtyard Boston Downtown,Average,23
Courtyard Boston Downtown,Poor,7
Courtyard Boston Downtown,Terrible,1
Courtyard Boston Logan Airport,Excellent,151
Courtyard Boston Logan Airport,Very good,251
Courtyard Boston Logan Airport,Average,149
Courtyard Boston Logan Airport,Poor,48
Courtyard Boston Logan Airport,Terrible,29
Courtyard Boston-South Boston,Excellent,126
Courtyard Boston-South Boston,Very good,209
Courtyard Boston-South Boston,Average,71
Courtyard Boston-South Boston,Poor,32
Courtyard Boston-South Boston,Terrible,16
Beacon Hill Hotel and Bistro,Excellent,93
Beacon Hill Hotel and Bistro,Very good,62
Beacon Hill Hotel and Bistro,Average,19
Beacon Hill Hotel and Bistro,Poor,14
Beacon Hill Hotel and Bistro,Terrible,6
BEST WESTERN PLUS Roundhouse Suites,Excellent,239
BEST WESTERN PLUS Roundhouse Suites,Very good,344
BEST WESTERN PLUS Roundhouse Suites,Average,162
BEST WESTERN PLUS Roundhouse Suites,Poor,93
BEST WESTERN PLUS Roundhouse Suites,Terrible,57
Comfort Inn - Boston,Excellent,52
Comfort Inn - Boston,Very good,71
Comfort Inn - Boston,Average,46
Comfort Inn - Boston,Poor,17
Comfort Inn - Boston,Terrible,18
Hotel Boston,Excellent,130
Hotel Boston,Very good,182
Hotel Boston,Average,104
Hotel Boston,Poor,49
Hotel Boston,Terrible,32
Ramada Boston,Excellent,45
Ramada Boston,Very good,81
Ramada Boston,Average,83
Ramada Boston,Poor,45
Ramada Boston,Terrible,43
Milner Hotel,Excellent,29
Milner Hotel,Very good,124
Milner Hotel,Average,103
Milner Hotel,Poor,46
Milner Hotel,Terrible,67
The Boston Common Hotel and Conference Center,Excellent,61
The Boston Common Hotel and Conference Center,Very good,203
The Boston Common Hotel and Conference Center,Average,205
The Boston Common Hotel and Conference Center,Poor,97
The Boston Common Hotel and Conference Center,Terrible,58
Constitution Inn,Excellent,75
Constitution Inn,Very good,160
Constitution Inn,Average,147
Constitution Inn,Poor,96
Constitution Inn,Terrible,86
Americas Best Value Inn,Excellent,2
Americas Best Value Inn,Very good,4
Americas Best Value Inn,Average,8
Americas Best Value Inn,Poor,1
Americas Best Value Inn,Terrible,5
Days Hotel Boston-Harvard Fenway,Excellent,25
Days Hotel Boston-Harvard Fenway,Very good,57
Days Hotel Boston-Harvard Fenway,Average,100
Days Hotel Boston-Harvard Fenway,Poor,76
Days Hotel Boston-Harvard Fenway,Terrible,56
