hotel_name,review_id,attribute,star_value
"Marriott Vacation Club Pulse at Custom House, Boston",review_330508885,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_330508885,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_330508885,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_327434663,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_327434663,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_327434663,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_326539926,Rooms,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_326539926,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_326539926,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_325707111,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_325707111,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_325707111,Service,3 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_321343517,Value,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_321343517,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_321343517,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_317855149,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_317855149,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_317855149,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_316864696,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_316864696,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_316864696,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_312375477,Value,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_312375477,Rooms,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_312375477,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_311276687,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_311276687,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_311276687,Service,5 of 5 bubbles
